id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_garage,sqft_patio,yr_built,yr_renovated,lat,long,street address,city,zipcode,floodzones in zipcode,area flood score 1,area flood score 2,avg area flood score,price,grade score,has_basement,on_waterfront,near_greenbelt,view score,condition score,sqft_basement,nuisance
3873900250,2021-07-19,3,1.5,1420,10364,1.0,1420,380,0,1961,0,47.343920000000004,-122.2854,3705 South 287th Street,Auburn,98001,"['X', 'AE', 'A', 'AH', 'C']",2.4,2.2,2.3,460000.0,7,0,0,0,0,4,0.0,0
627300085,2021-12-07,4,3.0,4100,10400,1.0,2050,0,460,1958,0,47.586059999999996,-122.11488,2648 169th Avenue Southeast,Bellevue,98008,"['X', 'AE', 'A', 'C', 'A06']",2.4,2.2,2.3,2205000.0,8,1,0,0,4,4,,0
8682230800,2021-09-27,2,2.5,2170,6853,1.0,2170,580,200,2004,0,47.71094,-122.03295,12527 230th Place Northeast,Redmond,98053,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5,1500000.0,8,0,0,0,0,3,0.0,0
3629980690,2021-06-10,4,2.5,2310,3830,2.0,2310,470,50,2006,0,47.553734999999996,-121.989655,3447 Northeast Monterey Lane,Issaquah,98029,"['X', 'AE']",2.5,2.0,2.25,1250000.0,9,0,0,0,0,3,0.0,0
8651430370,2022-04-29,4,1.0,1240,5200,1.0,1240,0,80,1969,0,47.37009000000001,-122.07893999999999,19615 Southeast 259th Street,Covington,98042,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5,500000.0,6,0,0,0,0,5,0.0,0
2895650280,2022-03-01,3,1.5,1350,1595,2.0,1120,300,20,2017,0,47.52491,-122.28013999999999,4230 South Greenbelt Station Drive,Seattle,98118,['X'],2.0,1.0,1.5,650000.0,8,1,0,0,0,3,,0
5153700010,2021-12-27,3,1.5,2210,9870,1.0,1040,0,740,1973,0,47.3298,-122.32096999999999,938 South 304th Street,Federal Way,98003,['X'],2.0,1.0,1.5,525000.0,7,1,0,0,0,4,,0
5466300060,2022-01-27,2,2.5,1740,2193,2.0,1740,260,0,1981,0,47.379459999999995,-122.1468,24812 145th Lane Southeast,Kent,98042,"['X', 'A', 'AE']",2.6666666666666665,2.333333333333333,2.5,400000.0,7,0,0,0,0,3,0.0,0
2323069033,2022-05-25,3,2.0,1710,89920,1.0,1710,360,326,1998,0,47.47213,-121.9944,14403 260th Avenue Southeast,Issaquah,98027,"['AE', 'X', 'AO', 'A', 'A04', 'C', 'B', 'AOB', 'A02']",2.5555555555555562,2.4444444444444446,2.5,1499950.0,7,0,0,0,0,5,0.0,0
109200310,2022-04-14,3,2.5,1770,7956,1.0,1350,620,440,1984,0,47.29658,-122.36696,2613 Southwest 340th Place,Federal Way,98023,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,650000.0,7,1,0,0,0,5,,0
2473002610,2021-09-14,3,2.5,2446,9600,1.0,2446,440,0,1968,2014,47.44777,-122.14051,14829 Southeast 172nd Place,Renton,98058,"['AE', 'X', 'A', 'A05', 'C', 'A07', 'B']",2.4285714285714284,2.2857142857142856,2.3571428571428568,1220000.0,8,0,0,0,0,3,0.0,0
3396810090,2021-08-30,4,2.5,2430,16304,2.0,2430,800,510,1986,0,47.719755,-122.10788000000001,13314 174th Avenue Northeast,Redmond,98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5,1415000.0,8,0,0,0,0,4,0.0,0
9164100125,2022-05-23,3,1.5,1550,4750,1.5,1550,0,160,1919,0,47.68243,-122.38898,7337 25th Avenue Northwest,Seattle,98117,"['X', 'A']",2.5,2.0,2.25,1150000.0,7,1,0,0,0,4,,0
7334400080,2021-07-19,4,2.5,2210,9896,2.0,2210,560,440,1986,0,47.465559999999996,-121.75758,43704 Southeast 149th Street,North Bend,98045,"['AE', 'AO', 'X', 'AOB', 'D', 'C', 'A', 'AH', 'A05', 'B', 'A09', 'AHB', 'A06', 'A03']",2.5714285714285716,2.5,2.5357142857142856,708000.0,7,0,0,0,0,4,0.0,0
